case_id,path
liver_124,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_124.nii.gz
liver_103,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_103.nii.gz
liver_78,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_78.nii.gz
liver_45,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_45.nii.gz
liver_91,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_91.nii.gz
liver_84,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_84.nii.gz
liver_18,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_18.nii.gz
liver_58,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_58.nii.gz
liver_21,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_21.nii.gz
liver_127,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_127.nii.gz
liver_75,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_75.nii.gz
liver_86,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_86.nii.gz
liver_7,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_7.nii.gz
liver_60,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_60.nii.gz
liver_101,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_101.nii.gz
liver_23,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_23.nii.gz
liver_25,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_25.nii.gz
liver_39,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_39.nii.gz
liver_98,E:\Bachelorarbeit_Daten\pipeline_preprocessed_data_128\liver_98.nii.gz
